Day,Date,Time,Duration,Type,Activity,Cost (NT$),Address,Notes,Maps Link
5,Wednesday 9 September,18:15,1.5 hr,meal,Tea and dinner — Jiufen teahouse,400,Jiufen Teahouse (九份茶坊),"Jiufen Teahouse (4.8) does interactive brewing — they set the pot in front of you and teach you the whole ritual — while the mountainside drops away to the sea below. Snacks alongside: taro balls, fish ball soup.",https://www.google.com/maps/search/?api=1&query=九份茶坊
5,Wednesday 9 September,19:45,75 min,travel,Mid-bus home to the hotel,,,"About seventy-five minutes. This is the overtime window — confirm the rate when you book. Everyone sits, bags stay in the hold, no Ruifang transfer.",
5,Wednesday 9 September,21:00,,rest,Back to the hotel,,,"Tired legs, full hearts, and a phone full of photos of a lantern drifting up into the dark. The big day is done.",
6,Thursday 10 September,07:30,45 min,rest,Breakfast at the hotel,,,"Eat here. The noodles at 09:30 are lunch, and the mountain road is not the moment for an empty stomach. Motion-sickness tablets before you board.",
6,Thursday 10 September,08:15,1 hr,travel,Mid-bus up to Shiding,,,"A winding New Taipei mountain road, about an hour from Zhongzheng. This has to be a 中巴, not a nine-seat van — twelve of you still cannot legally fit in one. The driver waits through the session and then drops you in Ximending. Do not take bus 666; it will eat the morning.",https://www.google.com/maps/search/?api=1&query=石碇許家手工麵線
6,Thursday 10 September,09:30,2 hr,meal,Hsu's handmade noodles — DIY + flowing noodles,550,"No. 3, Sifenzi, Wutu Village, Shiding, New Taipei","Book the 09:30 session — handmade-noodle DIY plus 流水麵, about NT$550. You throw the dough, they walk you through the thirteen steps, then noodles come down a bamboo trough of cold mountain spring water and you catch them with chopsticks. That is lunch. Ages 6 and under are free; the 3-year-old watches the throwing and joins the catching. Closed Tuesdays; Monday is the Yilan day — so this sits on Thursday.",https://www.google.com/maps/search/?api=1&query=石碇許家手工麵線
6,Thursday 10 September,12:15,50 min,travel,Van drops the group in Ximending,,,Not the hotel. Tell the driver 西門町 / 西門紅樓. Anyone who is actually full can skip the next snack stop; everyone else is two minutes from Ay-Chung.,https://www.google.com/maps/search/?api=1&query=西門町
6,Thursday 10 September,12:30,45 min,meal,Extra bites if anyone is still hungry,80,,"Ay-Chung mee sua and Lao Tian Lu braised meats are the two names worth knowing. Standing food, fast queues, no table of twelve required. Skip this entirely if Hsu's filled you up.",https://www.google.com/maps/search/?api=1&query=阿宗麵線
6,Thursday 10 September,13:30,2.5 hr,sight,Red House and the pedestrian streets,,"Ximending pedestrian zone, Wanhua","This is the shopping stretch, not a forty-minute pose. The Red House's octagonal hall is full of small designer shops; the streets around it are streetwear, cinemas, and whatever the aunts point at. The outdoor craft market typically runs Thursday to Sunday — today is Thursday, so it should be on.",https://www.google.com/maps/search/?api=1&query=西門紅樓
6,Thursday 10 September,16:00,1.5 hr,sight,Longshan and Bopiliao — only if you still want a temple,20,"Bangka Longshan Temple, Wanhua","Three MRT stops south on the blue line. A working temple, then the old street next door and Herb Lane for a cooling tea. Anyone who would rather keep shopping in Ximen just stays — the group does not have to move as one.",https://www.google.com/maps/search/?api=1&query=艋舺龍山寺
6,Thursday 10 September,16:30,1 hr,travel,"Back toward the hotel, then Zhongshan",,,MRT from Ximen. Anyone who wants Longshan peels off at 15:00; the rest can keep shopping until 16:30. The farewell table is at 18:30 — do not still be in Ximen at 18:00.,
6,Thursday 10 September,18:30,1.5 hr,meal,Farewell dinner — hotpot,600,"Wulao Hotpot, Zhongshan","Wulao Hotpot in Zhongshan is polished and set up for groups; Lujiba Chengdu skewer hotpot (4.9) is the spicier, livelier option. Book for twelve.",https://www.google.com/maps/search/?api=1&query=無老鍋+中山
6,Thursday 10 September,20:30,,rest,Back to the hotel — pack properly tonight,,,"Tomorrow morning is Dihua, then the 20:00 flight. Bags closed before you leave.",
7,Friday 11 September,08:30,1 hr,rest,"Last hotel breakfast, finish packing",,,"Round up everyone's purchases now — six days of night-market hauls add up fast, and someone's suitcase will not close without a fight.",
7,Friday 11 September,10:00,30 min,rest,"Check out, leave the luggage",,,Clear every room and hand it all to the bell desk. Carry only what the morning needs — you'll swing back for the bags at 14:30.,
7,Friday 11 September,10:30,15 min,travel,Taxi to Dihua Street,,,Two taxis over to Dadaocheng — ask the driver for the Yongle Market end and stroll north from there.,https://www.google.com/maps/search/?api=1&query=迪化街
7,Friday 11 September,10:45,2 hr,sight,Dihua Street — gifts and old Taipei,,"Dihua St, Datong District","Dried goods, tea, nougat, pineapple cakes, and bolts of fabric at Yongle Market — flat underfoot the whole way, arcaded against sun and rain, with cafés whenever the group needs to sit a while.",https://www.google.com/maps/search/?api=1&query=迪化街
7,Friday 11 September,12:30,1.25 hr,meal,Farewell lunch — Rice & Shine,450,"Rice & Shine (稻舍), Dihua Street","Rated 4.3. Refined Taiwanese cooking in a beautifully restored shophouse — the rice is the star here, alongside braised duck and shrimp rolls. Reserve for twelve. Yongle Market's stalls make a good casual fallback.",https://www.google.com/maps/search/?api=1&query=稻舍+迪化街
7,Friday 11 September,14:00,15 min,travel,Taxi back to the hotel,,,,
7,Friday 11 September,14:30,,rest,"Collect luggage, final headcount",,,"Count the bags, then count the people. Passports out and double-checked before anyone moves.",
7,Friday 11 September,14:45,50 min,travel,Mid-bus to Taoyuan Airport,,,"The same 20-seat 中巴 as Day 1, booked as a point-to-point send-off — not an hourly day. About fifty minutes door to door. A van will not fit twelve people and a week of luggage.",https://www.google.com/maps/search/?api=1&query=桃園國際機場
7,Friday 11 September,15:45,,travel,Arrive Taoyuan Airport,,,"Four hours ahead of an international departure — deliberately generous, clearing the usual three-hour guideline with room to spare for an older group, a three-year-old's pace, and no shortage of bags.",https://www.google.com/maps/search/?api=1&query=桃園國際機場
7,Friday 11 September,17:00,,meal,"Check in, immigration, last bites",,Taoyuan International Airport,"Check the bags first, then eat. If anyone forgot a gift for someone back home, the airside pineapple cakes are the perfect way to spend the last of the cash.",https://www.google.com/maps/search/?api=1&query=桃園國際機場
7,Friday 11 September,20:00,,travel,Depart Taoyuan,,,"Safe travels home, and welcome back with suitcases considerably fuller than they left.",
